timestamp,us_index,US-East,US-Central,US-West
2025-11-02T22:26:47.695745+00:00,3.0343,6.7422,2.6314,2.3722
2025-11-02T23:21:26.716336+00:00,2.7909,6.7422,2.2841,2.3722
2025-11-03T01:56:46.061312+00:00,3.0954,6.7422,2.6085,2.8355
2025-11-03T03:23:38.662875+00:00,3.1033,6.7422,2.579,2.8355
2025-11-03T04:34:24.829214+00:00,3.1175,6.7422,2.6016,2.8355
2025-11-03T05:25:24.682783+00:00,2.9997,6.7422,2.5926,2.3722
2025-11-03T06:40:06.983013+00:00,3.0604,6.7422,2.6502,2.3722
2025-11-03T07:27:02.668682+00:00,2.9915,6.7422,2.5684,2.3722
2025-11-03T08:36:02.877203+00:00,3.509,6.7422,2.6087,6.1571
2025-11-03T09:31:19.113545+00:00,3.3,6.7422,2.2987,6.1571
2025-11-03T10:29:51.372358+00:00,3.4494,6.7422,2.5571,6.1571
2025-11-03T11:23:02.876698+00:00,2.9638,6.7422,2.4695,2.7886
2025-11-03T12:53:47.428639+00:00,2.9622,6.3947,2.4947,2.7886
2025-11-03T13:35:22.862790+00:00,3.0227,6.3947,2.511,2.7886
2025-11-03T14:24:58.897536+00:00,3.0522,6.3947,2.5729,2.7886
2025-11-03T15:26:39.694416+00:00,3.0037,6.7422,2.5261,2.7886
2025-11-03T16:29:16.503185+00:00,3.4021,6.3947,2.49,6.1571
2025-11-03T17:22:44.286014+00:00,3.0536,6.3947,2.5154,2.7886
2025-11-03T18:34:11.565663+00:00,3.2962,6.3947,2.2589,6.1571
2025-11-03T19:21:55.799022+00:00,3.4028,6.3947,2.49,6.1571
2025-11-03T20:30:25.047563+00:00,3.3964,6.3947,2.5365,6.1571
2025-11-03T21:24:03.230823+00:00,3.0015,6.7422,2.5268,2.7886
2025-11-03T22:24:17.167979+00:00,3.0888,6.3947,2.5317,2.7886
2025-11-03T23:23:16.084039+00:00,3.0827,6.7422,2.5677,2.7886
2025-11-04T01:51:26.078915+00:00,2.7781,6.7422,2.2397,2.8355
2025-11-04T03:14:28.627172+00:00,3.061,6.7422,2.513,2.8355
2025-11-04T04:28:35.502694+00:00,3.0767,6.7422,2.563,2.7886
2025-11-04T05:24:49.072533+00:00,3.187,6.7422,2.2568,6.1571
2025-11-04T06:36:45.977326+00:00,2.9733,6.7422,2.4753,2.8355
2025-11-04T07:24:15.500830+00:00,3.0173,6.7422,2.5109,2.7886
2025-11-04T08:35:30.960180+00:00,3.2406,6.7422,2.2453,6.1571
2025-11-04T09:29:01.397426+00:00,3.4272,6.7422,2.5062,6.1571
2025-11-04T10:29:05.592247+00:00,2.948,6.7422,2.4803,2.7886
2025-11-04T11:23:48.100605+00:00,3.427,6.7422,2.5063,6.1571
2025-11-04T12:53:42.481502+00:00,3.4295,6.7422,2.506,6.1571
2025-11-04T13:39:43.209907+00:00,2.797,6.7422,2.2521,2.7886
2025-11-04T14:25:49.595760+00:00,3.4612,6.7422,2.5225,6.1571
2025-11-04T15:28:04.244071+00:00,3.0457,6.7422,2.5283,2.7886
2025-11-04T16:32:00.924118+00:00,3.0272,6.7422,2.5118,2.7886
2025-11-04T17:20:46.098457+00:00,3.1075,6.7422,2.5864,2.7886
2025-11-04T18:35:14.889821+00:00,3.4988,6.7422,2.5147,6.1571
2025-11-04T19:20:27.987833+00:00,3.3882,6.7422,2.5244,6.1571
2025-11-04T20:29:37.705141+00:00,3.4391,6.7422,2.5512,6.1571
2025-11-04T21:22:33.356832+00:00,3.0036,6.7422,2.5245,2.7886
2025-11-04T22:23:53.490009+00:00,2.9933,6.7422,2.4962,2.7886
2025-11-04T23:24:18.387451+00:00,2.7691,6.7422,2.2415,2.7886
2025-11-05T01:59:27.701228+00:00,3.0011,6.7422,2.5694,2.3722
2025-11-05T03:17:16.692854+00:00,3.4023,6.7422,2.4904,6.1571
2025-11-05T04:30:23.328212+00:00,3.4737,6.7422,2.4905,6.1571
2025-11-05T05:25:17.369072+00:00,2.9904,6.7422,2.5206,2.8355
2025-11-05T06:36:03.496350+00:00,3.3363,6.7422,2.491,6.1571
2025-11-05T07:24:03.026750+00:00,2.9053,6.7422,2.5093,2.3722
2025-11-05T08:33:59.454146+00:00,3.2135,6.3947,2.2852,6.1571
2025-11-05T09:28:18.564287+00:00,2.8922,6.7422,2.4945,2.3722
2025-11-05T10:29:57.130433+00:00,2.848,6.7422,2.4582,2.3722
2025-11-05T11:22:33.538141+00:00,3.07,6.3947,2.5928,2.7886
2025-11-05T12:51:16.500568+00:00,3.1013,6.3947,2.581,2.7886
2025-11-05T13:36:49.708098+00:00,3.0658,6.7422,2.4834,2.7886
2025-11-05T14:26:48.536217+00:00,3.1689,6.7422,2.5648,2.7886
2025-11-05T15:26:00.329038+00:00,2.955,6.3947,2.4668,2.7886
2025-11-05T16:32:58.408370+00:00,3.4511,6.3947,2.5224,6.1571
2025-11-05T17:23:55.461036+00:00,3.5532,6.3947,2.596,6.1571
2025-11-05T18:35:08.377760+00:00,3.722,6.3947,2.5869,6.1571
2025-11-05T19:20:52.961243+00:00,3.6545,6.3947,2.5519,6.1571
2025-11-05T20:28:48.962370+00:00,3.0315,6.3947,2.2906,2.7886
2025-11-05T21:23:21.936107+00:00,2.9001,6.7422,2.2822,2.7886
2025-11-05T22:23:50.996560+00:00,3.0332,6.7422,2.5707,2.3722
2025-11-05T23:22:59.101861+00:00,3.5383,6.3947,2.3139,6.1571
2025-11-06T01:52:47.042372+00:00,3.0093,6.7422,2.4743,2.8355
2025-11-06T03:18:54.319032+00:00,2.7744,6.7422,2.2378,2.7886
2025-11-06T04:31:39.917473+00:00,2.9988,6.7422,2.5241,2.7886
2025-11-06T05:26:21.497771+00:00,3.5422,6.7422,2.5761,6.1571
2025-11-06T06:36:34.833660+00:00,3.0298,6.7422,2.5512,2.8355
2025-11-06T07:23:27.740340+00:00,3.3217,6.7422,2.4761,6.1571
2025-11-06T08:33:14.077030+00:00,3.3945,6.7422,2.4919,6.1571
2025-11-06T09:27:27.752534+00:00,3.078,6.7422,2.5897,2.7886
2025-11-06T10:28:01.960906+00:00,3.3498,6.7422,2.4614,6.1571
2025-11-06T11:22:04.260528+00:00,3.4235,6.7422,2.5067,6.1571
2025-11-06T12:50:23.559515+00:00,3.3618,6.7422,2.5049,6.1571
2025-11-06T13:35:47.598107+00:00,2.6998,6.7422,2.2194,2.3722
2025-11-06T14:25:41.271340+00:00,3.1056,6.7422,2.5813,2.7886
2025-11-06T15:28:03.018500+00:00,2.8575,6.7422,2.2805,2.7886
2025-11-06T16:34:44.233533+00:00,3.5002,6.7422,2.5584,6.1571
2025-11-06T17:37:35.105813+00:00,3.1215,6.7422,2.6263,2.7886
2025-11-06T18:36:07.057044+00:00,3.4023,6.7422,2.4904,6.1571
2025-11-06T19:20:20.060847+00:00,2.996,6.3947,2.5244,2.7886
2025-11-06T20:28:52.968365+00:00,2.9656,6.7422,2.268,2.8355
2025-11-06T21:22:02.809912+00:00,2.9754,6.7422,2.4869,2.7886
2025-11-06T22:23:51.883571+00:00,3.0857,6.7422,2.5427,2.3722
2025-11-06T23:25:35.615431+00:00,3.1811,6.7422,2.2594,6.1571
2025-11-07T01:51:25.900984+00:00,2.8745,6.7422,2.4807,2.3722
2025-11-07T03:16:28.087336+00:00,3.5326,6.7422,2.6257,6.1571
2025-11-07T04:28:42.607165+00:00,3.0026,6.7422,2.5244,2.7886
2025-11-07T05:24:25.595253+00:00,3.447,6.7422,2.5235,6.1571
2025-11-07T06:38:22.652985+00:00,3.5007,6.3947,2.6036,6.1571
